block_id,verdict,footprint_class,ops_touched
torchvision__BasicBlock__facb2b2e,Abstain,tested-only,batch_norm|relu
torchvision__Bottleneck__6e509c98,Abstain,tested-only,batch_norm|relu
torchvision__ResNet__c58f6c46,Abstain,tested-only,adaptive_avg_pool|batch_norm|conv2d|flatten|group_norm|linear|max_pool2d|relu
torchvision__InvertedResidual__8b858391,Verified,tested-only,batch_norm|conv2d
torchvision__MobileNetV2__6436dda3,Abstain,tested-only,batch_norm|conv2d|dropout|flatten|group_norm|linear
torchvision__InvertedResidual__c8095521,Abstain,audited,relu
torchvision__MobileNetV3__ac65cce2,Abstain,tested-only,adaptive_avg_pool|batch_norm|conv2d|dropout|flatten|group_norm|linear
torchvision__EfficientNet__9f84b703,Abstain,tested-only,adaptive_avg_pool|batch_norm|conv2d|dropout|flatten|group_norm|linear|silu
torchvision__FusedMBConv__ecebccff,Abstain,audited,silu
torchvision__MBConv__f527375d,Abstain,audited,silu
torchvision__DenseNet__a093c450,Verified,tested-only,adaptive_avg_pool|batch_norm|conv2d|flatten|linear|max_pool2d|relu
torchvision__AnyStage__8a5bd23f,Refuted,audited,
torchvision__BottleneckTransform__3e2052e8,Refuted,audited,
torchvision__RegNet__6f370d88,Abstain,tested-only,adaptive_avg_pool|batch_norm|conv2d|flatten|linear|relu
torchvision__ResBottleneckBlock__87f0d2c0,Abstain,audited,
torchvision__SimpleStemIN__0d58277f,Refuted,audited,
torchvision__InvertedResidual__06250e16,Refuted,tested-only,batch_norm|cat|chunk|conv2d|relu
torchvision__ShuffleNetV2__fe61469b,Abstain,tested-only,batch_norm|conv2d|linear|max_pool2d|reduce|relu
torchvision__MNASNet__46e9b1aa,Refuted,tested-only,batch_norm|conv2d|creation_ops|dropout|linear|reduce|relu
torchvision__Fire__0a834437,Verified,audited,cat|conv2d|relu|squeeze
torchvision__SqueezeNet__0a56d689,Verified,tested-only,adaptive_avg_pool|conv2d|dropout|flatten|max_pool2d|relu
torchvision__Encoder__b1234776,Abstain,tested-only,creation_ops|dropout|layer_norm
torchvision__EncoderBlock__baabd083,Abstain,tested-only,dropout|layer_norm|multihead_attention
torchvision__MLPBlock__0bb7878a,Refuted,audited,gelu|linear
torchvision__VisionTransformer__475440d2,Abstain,tested-only,cat|conv2d|creation_ops|expand|layer_norm|linear|permute|reshape|tanh
torchvision__PatchMerging__b97a5f6d,Abstain,audited,layer_norm|linear
torchvision__PatchMergingV2__81d9e2b7,Abstain,audited,layer_norm|linear
torchvision__ShiftedWindowAttention__8455e6fe,Abstain,tested-only,contiguous|creation_ops|flatten|linear|permute|reduce|stack
torchvision__ShiftedWindowAttentionV2__22e6dcee,Refuted,tested-only,contiguous|creation_ops|elementwise_binary|linear|permute|relu|sigmoid|stack|unsqueeze|view
torchvision__SwinTransformer__406f0da6,Abstain,tested-only,adaptive_avg_pool|conv2d|flatten|layer_norm|linear|permute
torchvision__SwinTransformerBlock__ddab822f,Abstain,audited,gelu|layer_norm|linear
torchvision__SwinTransformerBlockV2__2cf95697,Refuted,audited,layer_norm
torchvision__CNBlock__9d3f5aaf,Abstain,tested-only,conv2d|creation_ops|gelu|layer_norm|linear
torchvision__ConvNeXt__9165120f,Abstain,tested-only,adaptive_avg_pool|conv2d|linear
torchvision__LayerNorm2d__5e6edc17,Verified,audited,layer_norm|permute
torchvision__MBConv__152e669c,Verified,tested-only,avg_pool2d|conv2d|silu
torchvision__MaxVit__ce854b10,Verified,tested-only,adaptive_avg_pool|batch_norm|conv2d|gelu|layer_norm|linear|tanh
torchvision__MaxVitBlock__c35855fb,Abstain,audited,
torchvision__MaxVitLayer__b533ec97,Verified,audited,layer_norm
torchvision__PartitionAttentionLayer__e27baac3,Abstain,audited,dropout|layer_norm|linear
torchvision__RelativePositionalMultiHeadAttention__53fc0512,Abstain,tested-only,chunk|contiguous|creation_ops|einsum|linear|permute|reshape|softmax|unsqueeze|view
torchvision__SwapAxes__13291fa5,Verified,audited,
torchvision__WindowDepartition__4c859ec3,Verified,audited,permute|reshape
torchvision__WindowPartition__35b9db0d,Refuted,audited,permute|reshape
torchvision__BasicBlock__1f3c4ff7,Abstain,tested-only,batch_norm|relu
torchvision__BasicStem__a9744e0a,Refuted,tested-only,batch_norm|conv3d|relu
torchvision__Bottleneck__8d213acd,Abstain,tested-only,batch_norm|conv3d|relu
torchvision__Conv2Plus1D__04cb4bbf,Refuted,tested-only,batch_norm|conv3d|relu
torchvision__Conv3DNoTemporal__84cca75c,Refuted,audited,conv3d
torchvision__Conv3DSimple__d388d7d1,Refuted,audited,conv3d
torchvision__R2Plus1dStem__cae0e078,Refuted,tested-only,batch_norm|conv3d|relu
torchvision__VideoResNet__ada67880,Abstain,tested-only,adaptive_avg_pool|batch_norm|conv3d|flatten|linear
torchvision__ASPP__8f03f871,Verified,tested-only,batch_norm|cat|conv2d|dropout|relu
torchvision__ASPPConv__b2767128,Refuted,tested-only,batch_norm|conv2d|relu
torchvision__ASPPPooling__5baa6bca,Refuted,tested-only,adaptive_avg_pool|batch_norm|conv2d|interpolate|relu
torchvision__DeepLabHead__41d22de9,Refuted,tested-only,batch_norm|conv2d|relu
torchvision__DeepLabV3__2bdf590b,Refuted,audited,
torchvision__FCN__f4f78ed2,Refuted,audited,
torchvision__FCNHead__0dd9f67b,Refuted,tested-only,batch_norm|conv2d|dropout|relu
torchvision__LRASPP__57ba7a9b,Abstain,tested-only,interpolate
torchvision__LRASPPHead__fe203cd4,Refuted,tested-only,adaptive_avg_pool|batch_norm|conv2d|interpolate|relu|sigmoid
torchvision__Conv2dNormActivation__157d8fd4,Refuted,tested-only,batch_norm|conv2d|relu
torchvision__Conv3dNormActivation__e2222bf1,Refuted,tested-only,batch_norm|conv3d|relu
torchvision__ConvNormActivation__31ac3cfd,Refuted,tested-only,batch_norm|conv2d|relu
torchvision__FrozenBatchNorm2d__6045250e,Verified,tested-only,creation_ops|reshape
torchvision__MLP__14e1a24d,Refuted,audited,dropout|linear|relu
torchvision__Permute__c578fee9,Verified,audited,permute
torchvision__SqueezeExcitation__9cf01ef0,Abstain,tested-only,adaptive_avg_pool|conv2d|relu|sigmoid
torchvision__ExtraFPNBlock__3db74521,Verified,audited,
torchvision__FeaturePyramidNetwork__0ad405dd,Abstain,tested-only,conv2d|creation_ops|interpolate
torchvision__LastLevelMaxPool__8cfe9276,Refuted,tested-only,max_pool2d
torchvision__LastLevelP6P7__3cc67870,Refuted,audited,conv2d|relu
timm__BasicBlock__0c23b6cb,Abstain,tested-only,batch_norm|conv2d|relu
