class,file,family,status,silent_error,input_shape,n_params,n_with_grad
PPDocLayoutV3GlobalPointer,benchmarks/_corpus/transformers/src/transformers/models/pp_doclayout_v3/modeling_pp_doclayout_v3.py,linear-only,ok,True,"[2, 4, 16]",2,0
PaddleOCRRMSNorm,benchmarks/_corpus/transformers/src/transformers/models/paddleocr_vl/modeling_paddleocr_vl.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
FlaubertPoolerStartLogits,benchmarks/_corpus/transformers/src/transformers/models/flaubert/modeling_flaubert.py,linear-only,ok,False,"[2, 4, 16]",2,2
MultiScaleDeformableAttention,benchmarks/_corpus/transformers/src/transformers/models/mm_grounding_dino/modeling_mm_grounding_dino.py,broadcast-elementwise,forward_or_backward_failed,False,,,
SeamlessM4TVariancePredictor,benchmarks/_corpus/transformers/src/transformers/models/seamless_m4t/modeling_seamless_m4t.py,conv-family,forward_or_backward_failed,False,,,
SEWDFeatureEncoder,benchmarks/_corpus/transformers/src/transformers/models/sew_d/modeling_sew_d.py,no_handler_detected,instantiation_failed,False,,,
XLNetPoolerAnswerClass,benchmarks/_corpus/transformers/src/transformers/models/xlnet/modeling_xlnet.py,linear-only,forward_or_backward_failed,False,,,
VisualBertPooler,benchmarks/_corpus/transformers/src/transformers/models/visual_bert/modeling_visual_bert.py,linear-only,ok,False,"[2, 4, 16]",2,2
MMGroundingDinoLearnedPositionEmbedding,benchmarks/_corpus/transformers/src/transformers/models/mm_grounding_dino/modeling_mm_grounding_dino.py,embedding-family,ok,False,"[2, 4, 16]",2,2
UniSpeechFeatureEncoder,benchmarks/_corpus/transformers/src/transformers/models/unispeech/modeling_unispeech.py,no_handler_detected,instantiation_failed,False,,,
FlavaOutput,benchmarks/_corpus/transformers/src/transformers/models/flava/modeling_flava.py,linear-only,forward_or_backward_failed,False,,,
DabDetrMHAttentionMap,benchmarks/_corpus/transformers/src/transformers/models/dab_detr/modeling_dab_detr.py,attention-family,forward_or_backward_failed,False,,,
JambaRMSNorm,benchmarks/_corpus/transformers/src/transformers/models/jamba/modeling_jamba.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
Ernie4_5_VLMoeMoeStatics,benchmarks/_corpus/transformers/src/transformers/models/ernie4_5_vl_moe/modeling_ernie4_5_vl_moe.py,reshape-only,forward_or_backward_failed,False,,,
MobileBertPooler,benchmarks/_corpus/transformers/src/transformers/models/mobilebert/modeling_mobilebert.py,linear-only,forward_or_backward_failed,False,,,
Zamba2RMSNormGated,benchmarks/_corpus/transformers/src/transformers/models/zamba2/modular_zamba2.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
RobertaClassificationHead,benchmarks/_corpus/transformers/src/transformers/models/roberta/modular_roberta.py,linear-only,ok,True,"[2, 4, 16]",4,0
LightOnOcrRMSNorm,benchmarks/_corpus/transformers/src/transformers/models/lighton_ocr/modeling_lighton_ocr.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
SpeechT5FeatureProjection,benchmarks/_corpus/transformers/src/transformers/models/speecht5/modeling_speecht5.py,linear-only,instantiation_failed,False,,,
GraniteMoeHybridParallelExperts,benchmarks/_corpus/transformers/src/transformers/models/granitemoehybrid/modeling_granitemoehybrid.py,linear-only,forward_or_backward_failed,False,,,
LayoutLMPooler,benchmarks/_corpus/transformers/src/transformers/models/layoutlm/modeling_layoutlm.py,linear-only,ok,False,"[2, 4, 16]",2,2
Wav2Vec2FeatureProjection,benchmarks/_corpus/transformers/src/transformers/models/wav2vec2/modeling_wav2vec2.py,linear-only,instantiation_failed,False,,,
CsmCodebooksHead,benchmarks/_corpus/transformers/src/transformers/models/csm/modeling_csm.py,reshape-only,forward_or_backward_failed,False,,,
Florence2VisionLearnedAbsolutePositionEmbedding2D,benchmarks/_corpus/transformers/src/transformers/models/florence2/modular_florence2.py,embedding-family,instantiation_failed,False,,,
Olmo3RMSNorm,benchmarks/_corpus/transformers/src/transformers/models/olmo3/modeling_olmo3.py,norm-family,ok,False,"[2, 4, 16]",1,1
NomicBertEmbeddings,benchmarks/_corpus/transformers/src/transformers/models/nomic_bert/modeling_nomic_bert.py,embedding-family,forward_or_backward_failed,False,,,
Data2VecTextLMHead,benchmarks/_corpus/transformers/src/transformers/models/data2vec/modeling_data2vec_text.py,linear-only,forward_or_backward_failed,False,,,
DiTCodecEmbedding,benchmarks/_corpus/transformers/src/transformers/models/qwen2_5_omni/modular_qwen2_5_omni.py,embedding-family,ok,False,"[1, 4]",1,1
GptOssRMSNorm,benchmarks/_corpus/transformers/src/transformers/models/gpt_oss/modeling_gpt_oss.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
FlexOlmoRMSNorm,benchmarks/_corpus/transformers/src/transformers/models/flex_olmo/modeling_flex_olmo.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
Glm4vMoeRMSNorm,benchmarks/_corpus/transformers/src/transformers/models/glm4v_moe/modeling_glm4v_moe.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
DeepseekV3RMSNorm,benchmarks/_corpus/transformers/src/transformers/models/deepseek_v3/modeling_deepseek_v3.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
DebertaLayerNorm,benchmarks/_corpus/transformers/src/transformers/models/deberta/modeling_deberta.py,norm-family,ok,False,"[2, 4, 16]",2,2
UdopCellEmbeddings,benchmarks/_corpus/transformers/src/transformers/models/udop/modeling_udop.py,embedding-family,ok,False,"[2, 4, 16]",2,2
Wav2Vec2FeatureEncoder,benchmarks/_corpus/transformers/src/transformers/models/wav2vec2/modeling_wav2vec2.py,no_handler_detected,instantiation_failed,False,,,
BlipTextEmbeddings,benchmarks/_corpus/transformers/src/transformers/models/blip/modeling_blip.py,embedding-family,ok,False,"[1, 4]",2,2
CwmRMSNorm,benchmarks/_corpus/transformers/src/transformers/models/cwm/modeling_cwm.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
BltRMSNorm,benchmarks/_corpus/transformers/src/transformers/models/blt/modeling_blt.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
DbrxRouter,benchmarks/_corpus/transformers/src/transformers/models/dbrx/modeling_dbrx.py,linear-only,forward_or_backward_failed,False,,,
UniSpeechSatAttnAdapterLayer,benchmarks/_corpus/transformers/src/transformers/models/unispeech_sat/modeling_unispeech_sat.py,linear-only,ok,False,"[2, 4, 16]",6,1
Phi3RMSNorm,benchmarks/_corpus/transformers/src/transformers/models/phi3/modeling_phi3.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
