bug_id,included_in_34,exclusion_reason,tg_verdict,pytea_verdict
bug_001,False,pytorch2x_op_no_pytea_handler,Verified,Verified
bug_002,False,op_not_in_pytea_catalogue,Verified,Verified
bug_003,True,,Refuted,Refuted
bug_004,True,,Refuted,Refuted
bug_005,True,,Refuted,Refuted
bug_006,True,,Verified,Verified
bug_007,True,,Verified,Verified
bug_008,True,,Refuted,Refuted
bug_009,True,,Refuted,Refuted
bug_010,True,,Refuted,Refuted
bug_011,True,,Refuted,Refuted
bug_012,False,pytorch2x_op_no_pytea_handler,Refuted,Refuted
bug_013,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_014,True,,Refuted,Refuted
bug_015,True,,Refuted,Refuted
bug_016,True,,Refuted,Verified
bug_017,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_018,True,,Refuted,N/A
bug_019,True,,Refuted,Refuted
bug_020,True,,Refuted,Refuted
bug_022,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_024,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_026,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_027,True,,Refuted,Refuted
bug_028,True,,Refuted,Refuted
bug_029,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_031,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_032,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_033,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_034,True,,Refuted,Verified
bug_035,True,,Refuted,Refuted
bug_037,True,,Refuted,Refuted
bug_038,True,,Refuted,Refuted
bug_039,True,,Refuted,Verified
bug_040,True,,Refuted,N/A
bug_041,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_042,True,,Refuted,Refuted
bug_043,True,,Refuted,Refuted
bug_044,True,,Refuted,Verified
bug_045,True,,Refuted,Refuted
bug_047,True,,Refuted,Refuted
bug_048,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_049,True,,Refuted,Refuted
bug_050,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_051,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_052,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_053,True,,Refuted,Refuted
bug_054,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_055,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_056,True,,Refuted,Refuted
bug_057,True,,Refuted,Refuted
bug_058,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_059,False,op_not_in_pytea_catalogue,Refuted,Refuted
bug_060,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_063,True,,Refuted,Verified
bug_064,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_065,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_067,False,op_not_in_pytea_catalogue,Refuted,Verified
bug_068,True,,Refuted,Refuted
bug_069,False,op_not_in_pytea_catalogue,Refuted,Verified
